Gemeentecode,GemeentecodeGM,Gemeentenaam,GeoGemeentenaam,Provinciecode,ProvinciecodePV,Provincienaam,"asylum_migrants","avg_household_income","avg_woz","avg_ww_ratio","flag_color1","flag_color2","flag_color3","flag_color4",latitude,longitude,murders,population,province,"shield_crown","shield_symbol_1","shield_symbol_2","shield_symbol_3","shieldholder_1","shieldholder_2","surface_km2","surface_land_km2","surface_water_km2",university,year
0534,GM0534,Hillegom,Hillegom,28,PV28,"Zuid-Holland",NA,NA,NA,NA,yellow,green,red,NA,"52.295626","4.579176",NA,20987,"Zuid-Holland",NA,lily,NA,NA,NA,NA,"13.5","12.9","0.6",0,2018
0798,GM0798,Hilvarenbeek,Hilvarenbeek,30,PV30,"Noord-Brabant",NA,NA,NA,NA,yellow,blue,white,black,"51.465175","5.15109",NA,15082,"Noord-Brabant",crown,lion,key,ring,NA,NA,"96.5","94.9","1.6",0,2018
0402,GM0402,Hilversum,Hilversum,27,PV27,"Noord-Holland",NA,NA,NA,NA,blue,yellow,NA,NA,"52.22917","5.166897",NA,86574,"Noord-Holland",NA,buckwheat,NA,NA,NA,NA,"46.4","45.6","0.7",0,2018
1963,GM1963,"Hoeksche Waard","Hoeksche Waard",28,PV28,"Zuid-Holland",NA,NA,NA,NA,blue,white,yellow,red,"51.81893","4.427236",NA,23727,"Zuid-Holland",crown,NA,NA,NA,NA,NA,"19.6","18.8","0.9",0,2018
1735,GM1735,"Hof van Twente","Hof van Twente",23,PV23,Overijssel,NA,NA,NA,NA,yellow,green,white,NA,"52.241427","6.591555",NA,34987,Overijssel,crown,tree,cross,flower,NA,NA,"215.4","212.8","2.6",0,2018
1966,GM1966,"Het Hogeland","Het Hogeland",20,PV20,Groningen,NA,NA,NA,NA,yellow,white,blue,NA,"53.301675","6.599829",NA,10475,Groningen,crown,spade,cross,book,NA,NA,45,"44.6","0.4",0,2018
1911,GM1911,"Hollands Kroon","Hollands Kroon",27,PV27,"Noord-Holland",NA,NA,NA,NA,grey,red,blue,green,"52.811859","5.00119",NA,47501,"Noord-Holland",crown,lion,crown,NA,NA,NA,"662.2","358.1","304.1",0,2018
0118,GM0118,Hoogeveen,Hoogeveen,22,PV22,Drenthe,NA,NA,NA,NA,NA,NA,NA,NA,"52.728616","6.4901",NA,54680,Drenthe,crown,haystack,bee,beehive,NA,NA,"129.3","127.7","1.6",0,2018
0405,GM0405,Hoorn,Hoorn,27,PV27,"Noord-Holland",NA,NA,NA,NA,red,white,NA,NA,"52.642365","5.060212",NA,71741,"Noord-Holland",unicorn,horn,NA,NA,NA,NA,"53.3","20.3",33,0,2018
1507,GM1507,"Horst aan de Maas","Horst aan de Maas",31,PV31,Limburg,NA,NA,NA,NA,yellow,black,red,white,"51.423226","6.030317",NA,41718,Limburg,crown,flower,NA,NA,NA,NA,"191.9","188.6","3.3",0,2018
0321,GM0321,Houten,Houten,26,PV26,Utrecht,NA,NA,NA,NA,white,red,blue,NA,"52.002991","5.18576",NA,48427,Utrecht,crown,NA,NA,NA,NA,NA,59,"55.4","3.6",0,2018
0406,GM0406,Huizen,Huizen,27,PV27,"Noord-Holland",NA,NA,NA,NA,yellow,red,NA,NA,"52.299465","5.243393",NA,41239,"Noord-Holland",NA,milkwoman,NA,NA,NA,NA,"23.3","15.8","7.5",0,2018
0677,GM0677,Hulst,Hulst,29,PV29,Zeeland,NA,NA,NA,NA,yellow,black,NA,NA,"51.280691","4.054887",NA,27402,Zeeland,crown,lion,leaf,NA,NA,NA,"251.8","201.4","50.4",0,2018
0353,GM0353,IJsselstein,IJsselstein,26,PV26,Utrecht,NA,NA,NA,NA,yellow,black,NA,NA,"52.017765","5.0403",NA,34268,Utrecht,crown,cross,NA,NA,NA,NA,"21.7","21.2","0.5",0,2018
1884,GM1884,"Kaag en Braassem","Kaag en Braassem",28,PV28,"Zuid-Holland",NA,NA,NA,NA,white,green,purple,NA,"52.204135","4.631315",NA,25758,"Zuid-Holland",crown,lion,moon,crown,NA,NA,"72.2","63.4","8.9",0,2018
0166,GM0166,Kampen,Kampen,23,PV23,Overijssel,NA,NA,NA,NA,white,black,NA,NA,"52.557964","5.914462",NA,51069,Overijssel,crown,stronghold,NA,NA,lion,lion,"161.8","142.6","19.2",0,2018
